sha_a	date_a	author_a	trailer_a	svn_rev_a	add_a	del_a	sha_b	date_b	author_b	trailer_b	svn_rev_b	add_b	del_b	pair_type	same_change	offset_days_b_minus_a	first_message_line
e4c05d317	2009-11-05T04:41:36Z	s_nakamoto	T	32	2184	301	fba408894	2009-11-05T04:41:36Z	s_nakamoto	-		2184	301	one-trailer	identical	0.00	unix build merged in, bitmap resources from xpm instead of rc, better addr relay, better selection of addrs by time last seen for faster connect
300d4608f	2009-11-06T05:50:05Z	s_nakamoto	T	33	260	235	93cfb02ac	2009-11-06T05:50:05Z	s_nakamoto	-		260	235	one-trailer	identical	0.00	got rid of CheckForShutdown, replaced some thread-unsafe wxWidgets calls, Linux fixes, socket send MSG_NOSIGNAL, bind INADDR_ANY, works reliably on Linux now except if wxMessageBox is used in a thread other than the GUI thread
8acda009d	2009-11-06T18:53:26Z	s_nakamoto	T	34	44	1284	85c33b960	2009-11-06T18:53:26Z	s_nakamoto	-		44	1284	one-trailer	identical	0.00	UIThreadCall, ThreadSafeMessageBox
8b4cefd32	2009-11-07T05:05:03Z	s_nakamoto	T	35	346	284	1a01afab2	2009-11-07T05:05:03Z	s_nakamoto	-		346	284	one-trailer	identical	0.00	UI tweaks, use BindListenPort to detect instance already running, setsockopt(SO_REUSEADDR) so can bind during TIME_WAIT after exit and restart
b4e235f9f	2009-11-07T18:51:41Z	s_nakamoto	T	36	948	313	158ea66c6	2009-11-07T18:51:41Z	s_nakamoto	-		948	313	one-trailer	identical	0.00	ui tweaks, multiple xpm icon sizes
956468c29	2009-11-08T04:24:52Z	s_nakamoto	T	37	78	22	e9c2b5c84	2009-11-08T04:24:52Z	s_nakamoto	-		78	22	one-trailer	identical	0.00	Get local host IP on Linux, Shutdown() a little cleaner -- linux-0.1.6-test1 waypoint
70e79525c	2009-11-13T01:23:08Z	s_nakamoto	T	38	684	391	31e6ea7f5	2009-11-13T01:23:08Z	s_nakamoto	-		684	391	one-trailer	identical	0.00	monitor ThreadSocketHandler and terminate and restart if hung, convert _beginthread to CreateThread wrapper, disconnect inactive connections, ping, break up long messages to speed up initial download, better priorities for initiating connections, track how many nodes have requested our blocks and transactions, status #/offline and warning message on unsent blocks, minimize on close as separate option -- linux-test5
b349e3dca	2009-11-14T18:04:08Z	s_nakamoto	T	39	1	1	01fe1d213	2009-11-14T18:04:08Z	s_nakamoto	-		1	1	one-trailer	identical	0.00	misc compile error
c5c7911da	2009-11-18T19:19:41Z	s_nakamoto	T	40	304	184	e4db37442	2009-11-18T19:19:41Z	s_nakamoto	-		304	184	one-trailer	identical	0.00	bugfix Db::open/close and zombie sockets bugs fix double-close of socket handle,
52f4cb485	2009-11-24T21:04:50Z	s_nakamoto	T	41	24	3	70918a664	2009-11-24T21:04:50Z	s_nakamoto	-		24	3	one-trailer	identical	0.00	minor fix to batched initial download in case requester has more than 500 block non-main branch
